SAMPLES;Date;EC;FE;CP;SomPhg;HMBactPhg;CWBactPhg;PGBactPhg;PLBactPhg;BifSorb;BifTot;HMBif;CWBif;PGNeo;PLBif;TLBif;BacR;Pig2Bac;AllBac;HF183TaqMan;FEqPCR;HMMit;CWMit;PGMit;PLMit;Acesulfame;Cyclamate;Saccharain ;Sucralose;Adeno;NoV;
P25DG;10/09/2014;4.48E+07;3.43E+09;9.16E+05;2.95E+08;<5;<5;<5;<5;1.50E+06;1.65E+07;<6.40E+04;<3.57E+03;5.82E+04;1.58E+04;4.20E+06;<4.79E+02;<4.79E+02;5.17E+10;8.71E+02;780544810.5;<1.6E+04;1.5E+05;4.8E+05;4.9E+05;<50;<50;<50;<50;<4.0E+04;NA;
D01HM_F;18/11/2013;6.2E+05;9.6E+04;3.3E+04;6.3E+04;4.54E+03;<5;3.00E+01;<5;1.1E+06;1.2E+06;1.03E+06;<3.57E+03;<3.60E+04;<3.57E+03;9.32E+07;<4.79E+02;3.18E+04;3.19E+09;2.07E+07;1.72E+09;1.1E+05;<1.0E+04;<1.6E+04;2.6E+04;280;980;<50;260;6.3E+04;1.36E+04;
D02PG_F;18/11/2013;1.9E+07;2.0E+04;<1.0E+01;1.1E+05;<5;<5;<5;7.50E+01;1.2E+07;3.6E+07;2.97E+06;9.92E+05;<3.60E+04;<3.57E+03;1.73E+08;<4.79E+02;1.46E+10;6.90E+10;<4.79E+02;1.24E+08;<1.6E+04;<1.0E+04;2.0E+08;<1.0E+04;<50;<50;<50;59;5.9E+04;1.56E+04;
D03CW_F;18/11/2013;1.7E+05;1.2E+06;<1.0E+01;5.0E+02;<5;<5;<5;<5;4.1E+06;5.2E+06;<6.40E+04;1.12E+06;<3.60E+04;<3.57E+03;9.97E+08;8.37E+08;<4.79E+02;2.45E+10;<4.79E+02;7.07E+08;1.4E+06;3.9E+07;<1.6E+04;<1.0E+04;<50;<50;<50;<50;<4.0E+04;<8.0E+02;
D04PL_F;18/11/2013;1.1E+07;1.5E+06;<1.0E+01;1.0E+06;<5;<5;<5;<5;2.1E+07;2.8E+07;<6.40E+04;<3.00E+04;<3.60E+04;2.26E+07;4.87E+08;<4.79E+02;<4.79E+02;7.96E+05;<4.79E+02;7.59E+05;1.9E+06;<1.0E+04;<1.6E+04;1.2E+08;<50;<50;<50;<50;<4.0E+04;<8.0E+02;
D05HO_F;18/11/2013;2.8E+04;2.5E+05;2.5E+00;<1.0E+01;<5;<5;<5;<5;1.1E+04;1.1E+05;<6.40E+04;<3.00E+04;<3.60E+04;<3.57E+03;1.62E+08;<4.79E+02;<4.79E+02;4.07E+09;<4.79E+02;8.56E+05;<1.6E+04;<1.0E+04;<1.6E+04;<1.0E+04;<50;<50;<50;120;<4.0E+04;NA;
D06HM_W;27/01/2014;6.6E+05;1.5E+05;3.6E+04;9.1E+04;5.40E+03;<5;<5;7.50E+01;1.0E+06;1.3E+06;3.88E+05;<3.00E+04;<3.60E+04;<3.57E+03;1.47E+07;<4.79E+02;5.66E+02;2.22E+09;2.32E+07;8.34E+08;2.7E+05;<1.0E+04;<1.6E+04;<1.0E+04;187;740;<50;233;<4.0E+04;4.44E+05;
D07PG_W;27/01/2014;1.1E+06;1.9E+05;<1.0E+03;4.9E+05;<5;<5;<5;<5;1.1E+05;2.2E+05;4.12E+06;4.96E+06;5.00E+06;<3.57E+03;6.49E+07;<4.79E+02;5.01E+08;2.02E+10;<4.79E+02;8.76E+07;<1.6E+04;<1.0E+04;1.3E+07;<1.0E+04;<50;<50;<50;56;<4.0E+04;3.92E+04;
D08CW_W;27/01/2014;4.6E+04;1.1E+05;3.9E+01;<1.0E+01;<5;<5;<5;<5;<1.0E+03;4.5E+03;<6.40E+04;1.24E+06;<3.60E+04;<3.57E+03;5.97E+07;9.52E+08;<4.79E+02;1.61E+10;<4.79E+02;5.33E+07;2.1E+06;7.6E+07;<1.6E+04;<1.0E+04;<50;<50;<50;<50;<4.0E+04;<8.0E+02;
D09PL_W;27/01/2014;2.1E+07;4.6E+05;8.9E+03;2.9E+06;<5;<5;<5;<5;2.2E+05;1.0E+06;<6.40E+04;<3.00E+04;<3.60E+04;1.19E+07;1.34E+08;<4.79E+02;<4.79E+02;1.24E+10;<4.79E+02;2.84E+09;<1.6E+04;<1.0E+04;<1.6E+04;1.1E+06;<50;<50;<50;<50;<4.0E+04;<8.0E+02;
D10HO_W;27/01/2014;9.0E+04;3.5E+02;<1.0E+02;4.3E+04;<5;<5;<5;<5;<1.0E+03;<1.0E+03;<6.40E+04;<3.00E+04;<3.60E+04;<3.57E+03;3.21E+07;<4.79E+02;<4.79E+02;7.32E+09;<4.79E+02;2.30E+06;<1.6E+04;<1.0E+04;<1.6E+04;<1.0E+04;<50;<50;<50;<50;<4.0E+04;NA;
D11HM_P;31/03/2014;1.6E+05;2.3E+05;3.1E+04;1.4E+05;4.50E+02;1.00E+01;<5;2.00E+01;1.8E+04;1.1E+05;1.81E+06;<3.00E+04;<3.60E+04;<3.57E+03;2.34E+07;<4.79E+02;2.77E+02;4.96E+08;1.23E+07;1.59E+09;2.8E+05;<1.0E+04;<1.6E+04;<1.0E+04;250;620;<50;220;<4.0E+04;2.07E+05;
D12CW_P;31/03/2014;3.0E+03;8.5E+03;<1.0E+01;2.5E+02;<5;<5;<5;<5;1.0E+02;5.0E+02;<6.40E+04;<3.00E+04;<3.60E+04;<3.57E+03;5.25E+07;1.12E+08;<4.79E+02;3.87E+09;<4.79E+02;1.46E+07;1.7E+06;5.7E+07;<1.6E+04;<1.0E+04;<50;<50;<50;<50;<4.0E+04;<8.0E+02;
D13PL_P;31/03/2014;1.4E+05;3.2E+05;1.5E+03;1.6E+06;5.20E+02;<5;<5;<5;1.6E+04;9.1E+04;<6.40E+04;<3.00E+04;<3.60E+04;1.49E+08;2.04E+08;<4.79E+02;<4.79E+02;2.79E+10;<4.79E+02;1.24E+10;<1.6E+04;<1.0E+04;<1.6E+04;2.7E+06;<50;<50;<50;<50;<4.0E+04;<8.0E+02;
D14HO_P;31/03/2014;6.0E+03;2.2E+04;<1.0E+01;<1.0E+01;<5;<5;<5;<5;1.5E+01;1.5E+01;<6.40E+04;<3.00E+04;<3.60E+04;<3.57E+03;6.09E+07;<4.79E+02;<4.79E+02;3.51E+09;<4.79E+02;8.11E+06;<1.6E+04;<1.0E+04;<1.6E+04;<1.0E+04;<50;<50;<50;<50;<4.0E+04;NA;
D15HM_S;23/06/2014;9.5E+05;4.7E+04;2.9E+04;3.2E+05;3.14E+02;<5;<5;<5;3.0E+04;2.2E+05;5.41E+04;<3.00E+04;<3.60E+04;<3.57E+03;5.99E+06;<4.79E+02;<4.79E+02;6.83E+08;1.02E+07;9.45E+08;3.7E+05;<1.0E+04;<1.6E+04;<1.0E+04;420;770;<50;270;3.9E+04;2.28E+04;
D16PG_S;23/06/2014;6.9E+05;4.0E+06;6.7E+02;2.5E+04;<5;<5;<5;<5;4.6E+03;1.9E+04;1.14E+07;5.47E+06;5.53E+06;<3.57E+03;1.27E+08;<4.79E+02;5.34E+08;1.40E+10;<4.79E+02;1.27E+08;8.4E+04;<1.0E+04;4.3E+06;<1.0E+04;<50;<50;<50;<50;<4.0E+04;<8.0E+02;
D17CW_S;23/06/2014;1.4E+06;1.4E+05;2.0E+01;<1.0E+01;<5;<5;<5;<5;2.1E+05;1.4E+06;<6.40E+04;<3.00E+04;<3.60E+04;<3.57E+03;1.50E+08;3.59E+08;<4.79E+02;1.36E+10;<4.79E+02;1.09E+07;6.8E+05;1.3E+07;<1.6E+04;<1.0E+04;<50;<50;<50;<50;<4.0E+04;<8.0E+02;
D18PL_S;23/06/2014;1.8E+07;1.0E+06;1.1E+02;7.2E+07;<5;<5;<5;<5;1.8E+05;2.9E+06;<6.40E+04;<3.00E+04;<3.60E+04;5.97E+07;3.55E+08;<4.79E+02;<4.79E+02;2.72E+10;<4.79E+02;8.28E+09;1.8E+05;<1.0E+04;<1.6E+04;2.0E+06;<50;<50;<50;<50;<4.0E+04;<8.0E+02;
D19HO_S;23/06/2014;3.7E+05;3.3E+04;<1.0E+01;<1.0E+01;<5;<5;<5;<5;7.9E+03;1.0E+04;<6.40E+04;<3.00E+04;<3.60E+04;<3.57E+03;3.75E+07;<4.79E+02;<4.79E+02;1.17E+10;<4.79E+02;9.87E+06;<1.6E+04;<1.0E+04;<1.6E+04;<1.0E+04;<50;<50;<50;<50;<4.0E+04;NA;
