	SAMPLES	Date	EC	FE	CP	SomPhg	HMBactPhg	CWBactPhg	PGBactPhg	PLBactPhg	BifSorb	BifTot	HMBif	CWBif	PGNeo	PLBif	TLBif	BacR	Pig2Bac	AllBac	HF183TaqMan	FEqPCR	HMMit	CWMit	PGMit	PLMit	Acesulfame	Cyclamate	Saccharain 	Sucralose	Adeno	NoV
	A07HM_W	26/02/14	-1.30	-1.30	-0.30	0.70	0.70	0.70	0.70	0.70	1.70	1.70	4.81	4.48	4.56	4.82	4.81	2.68	2.68	2.68	2.68	2.68	4.20	4.00	4.20	4.00	1.70	1.70	1.70	1.70	4.60	2.90
	A08HM_W	26/02/14	-1.30	-1.30	-0.30	0.70	0.70	0.70	0.70	0.70	1.70	1.70	4.81	4.48	4.56	4.82	4.81	2.68	2.68	2.68	2.68	2.68	4.20	4.00	4.20	4.00	1.70	1.70	1.70	1.70	4.60	2.90
	A09CW_W	26/02/14	-1.30	-1.30	-0.30	0.70	0.70	0.70	0.70	0.70	1.70	1.70	4.81	4.48	4.56	4.82	4.81	2.68	2.68	2.68	2.68	2.68	4.20	4.00	4.20	4.00	1.70	1.70	1.70	1.70	4.60	2.90
	A10PG_W	26/02/14	-1.30	-1.30	-0.30	0.70	0.70	0.70	0.70	0.70	1.70	1.70	4.81	4.48	4.56	4.82	4.81	2.68	2.68	2.68	2.68	2.68	4.20	4.00	4.20	4.00	1.70	1.70	1.70	1.70	4.60	2.90
	A11PL_W	26/02/14	-1.30	-1.30	-0.30	0.70	0.70	0.70	0.70	0.70	1.70	1.70	4.81	4.48	4.56	4.82	4.81	2.68	2.68	2.68	2.68	2.68	4.20	4.00	4.20	4.00	1.70	1.70	1.70	1.70	4.60	2.90
	A12DG_W	26/02/14	-1.30	-1.30	-0.30	0.70	0.70	0.70	0.70	0.70	1.70	1.70	4.81	4.48	4.56	4.82	4.81	2.68	2.68	2.68	2.68	2.68	4.20	4.00	4.20	4.00	1.70	1.70	1.70	1.70	4.60	2.90
	A13HM_P	28/04/14	-1.30	-1.30	-0.30	0.70	0.70	0.70	0.70	0.70	1.70	1.70	4.81	4.48	4.56	4.82	4.81	2.68	2.68	2.68	2.68	2.68	4.20	4.00	4.20	4.00	1.70	1.70	1.70	1.70	4.60	2.90
	A14HM_P	28/04/14	-1.30	-1.30	-0.30	0.70	0.70	0.70	0.70	0.70	1.70	1.70	4.81	4.48	4.56	4.82	4.81	2.68	2.68	2.68	2.68	2.68	4.20	4.00	4.20	4.00	1.70	1.70	1.70	1.70	4.60	2.90
	A15HO_P	29/04/14	-1.30	-1.30	-0.30	0.70	0.70	0.70	0.70	0.70	1.70	1.70	4.81	4.48	4.56	4.82	4.81	2.68	2.68	2.68	2.68	2.68	4.20	4.00	4.20	4.00	1.70	1.70	1.70	1.70	4.60	2.90
	A16CW_P	29/04/14	-1.30	-1.30	-0.30	0.70	0.70	0.70	0.70	0.70	1.70	1.70	4.81	4.48	4.56	4.82	4.81	2.68	2.68	2.68	2.68	2.68	4.20	4.00	4.20	4.00	1.70	1.70	1.70	1.70	4.60	2.90
	A17BD_P	29/04/14	-1.30	-1.30	-0.30	0.70	0.70	0.70	0.70	0.70	1.70	1.70	4.81	4.48	4.56	4.82	4.81	2.68	2.68	2.68	2.68	2.68	4.20	4.00	4.20	4.00	1.70	1.70	1.70	1.70	4.60	2.90
	A18GO_P	29/04/14	-1.30	-1.30	-0.30	0.70	0.70	0.70	0.70	0.70	1.70	1.70	4.81	4.48	4.56	4.82	4.81	2.68	2.68	2.68	2.68	2.68	4.20	4.00	4.20	4.00	1.70	1.70	1.70	1.70	4.60	2.90
	A19PG_P	29/04/14	-1.30	-1.30	-0.30	0.70	0.70	0.70	0.70	0.70	1.70	1.70	4.81	4.48	4.56	4.82	4.81	2.68	2.68	2.68	2.68	2.68	4.20	4.00	4.20	4.00	1.70	1.70	1.70	1.70	4.60	2.90
